timestamp,error_pitch,error_roll,error_yaw,p_pitch,p_roll,p_yaw,i_pitch,i_roll,i_yaw,d_pitch,d_roll,d_yaw,sum_pitch,sum_roll,sum_yaw
1752496867627964874,0.0,0.0,0.0,-16.981740951538086,-4.395411491394043,89.07420349121094,-0.3019738793373108,-0.1130249947309494,0.0,0.0,0.0,-0.0,17.283714294433594,-4.508436679840088,89.07420349121094
1752496867646797373,0.0,0.0,0.0,-15.415129661560059,-4.786527633666992,88.92167663574219,-0.304832398891449,-0.11382976174354553,0.0,0.0,-0.0,-0.0,15.719962120056152,-4.900357246398926,88.92167663574219
1752496867668974290,0.0,0.0,0.0,-14.809015274047852,-4.6240081787109375,88.7744369506836,-0.3076314926147461,-0.11470954120159149,0.0,-0.0,-0.0,-0.0,15.116646766662598,-4.738717555999756,88.7744369506836
1752496867703690499,0.0,0.0,0.0,-14.106088638305664,-4.345113754272461,88.63492584228516,-0.3102054297924042,-0.1154986172914505,0.0,0.0,0.0,-0.0,14.41629409790039,-4.4606122970581055,88.63492584228516
1752496867710773832,0.0,0.0,0.0,-13.83910846710205,-4.440027236938477,84.48937225341797,-0.3126729726791382,-0.11626220494508743,0.0,-0.0,-0.0,-0.0,14.15178108215332,-4.5562896728515625,84.48937225341797
1752496867732829499,0.0,0.0,0.0,-14.022605895996094,-4.143281936645508,84.35208129882812,-0.3152645230293274,-0.11706764250993729,0.0,-0.0,0.0,-0.0,14.337870597839355,-4.260349750518799,84.35208129882812
1752496867751322123,0.0,0.0,0.0,-13.829019546508789,-3.571821928024292,84.23258972167969,-0.3177525997161865,-0.11774992197751999,0.0,0.0,0.0,-0.0,14.146772384643555,-3.6895718574523926,84.23258972167969
1752496867772000998,0.0,0.0,0.0,-13.661150932312012,-3.4881932735443115,84.11840057373047,-0.32018449902534485,-0.1183822900056839,0.0,0.0,-0.0,-0.0,13.981335639953613,-3.6065754890441895,84.11840057373047
1752496867794293082,0.0,0.0,0.0,-13.240179061889648,-2.993544578552246,84.01012420654297,-0.3226964473724365,-0.11897733807563782,0.0,0.0,0.0,-0.0,13.562875747680664,-3.1125218868255615,84.01012420654297
1752496867818721957,0.0,0.0,0.0,-12.94936466217041,-3.120685338973999,83.89986419677734,-0.3250121474266052,-0.11952091753482819,0.0,0.0,-0.0,-0.0,13.27437686920166,-3.240206241607666,83.89986419677734
1752496867840489374,0.0,0.0,0.0,-12.897462844848633,-2.6255548000335693,83.79055786132812,-0.3273215889930725,-0.12002750486135483,0.0,0.0,0.0,-0.0,13.224784851074219,-2.745582342147827,83.79055786132812
1752496867860636874,0.0,0.0,0.0,-12.219315528869629,-2.4895732402801514,83.67627716064453,-0.32964998483657837,-0.12048901617527008,0.0,0.0,-0.0,-0.0,12.548965454101562,-2.61006236076355,83.67627716064453
1752496867881730457,0.0,0.0,0.0,-11.83438491821289,-2.8291873931884766,83.55836486816406,-0.3317844569683075,-0.12096966803073883,0.0,0.0,0.0,-0.0,12.166169166564941,-2.9501571655273438,83.55836486816406
1752496867903832207,0.0,0.0,0.0,-11.327269554138184,-2.8779447078704834,83.44302368164062,-0.33383968472480774,-0.12148763239383698,0.0,-0.0,0.0,-0.0,11.66110897064209,-2.999432325363159,83.44302368164062
1752496867928919832,0.0,0.0,0.0,-10.930363655090332,-3.039106607437134,83.33545684814453,-0.335895836353302,-0.12203491479158401,0.0,0.0,-0.0,-0.0,11.26625919342041,-3.1611416339874268,83.33545684814453
1752496867945687498,0.0,0.0,0.0,-10.38257122039795,-14.974311828613281,83.21408081054688,-0.3377871513366699,-0.12279126793146133,0.0,0.0,-0.0,-0.0,10.720357894897461,-15.097103118896484,83.21408081054688
1752496867968788749,0.0,0.0,0.0,-10.477496147155762,-14.880058288574219,83.09517669677734,-0.3397138714790344,-0.12558111548423767,0.0,-0.0,0.0,-0.0,10.81721019744873,-15.00563907623291,83.09517669677734
1752496867988474540,0.0,0.0,0.0,-10.197531700134277,-14.063157081604004,82.989990234375,-0.3415467441082001,-0.12813681364059448,0.0,0.0,0.0,-0.0,10.539078712463379,-14.191293716430664,82.989990234375
1752496868009462040,0.0,0.0,0.0,-10.080018997192383,-13.491827011108398,82.8820571899414,-0.34334075450897217,-0.13059329986572266,0.0,-0.0,0.0,-0.0,10.423359870910645,-13.622420310974121,82.8820571899414
1752496868031928707,0.0,0.0,0.0,-9.913413047790527,-12.55755615234375,82.78314208984375,-0.34520629048347473,-0.1330253630876541,0.0,0.0,0.0,-0.0,10.25861930847168,-12.690581321716309,82.78314208984375
1752496868053544749,0.0,0.0,0.0,-9.449363708496094,-11.717166900634766,82.6752700805664,-0.34691402316093445,-0.13515760004520416,0.0,0.0,0.0,-0.0,9.79627799987793,-11.852324485778809,82.6752700805664
1752496868072748749,0.0,0.0,0.0,-9.079676628112793,-10.756587982177734,86.56419372558594,-0.34855592250823975,-0.137160986661911,0.0,0.0,0.0,-0.0,9.428232192993164,-10.893749237060547,86.56419372558594
1752496868095117040,0.0,0.0,0.0,-8.933231353759766,-9.94465160369873,86.46410369873047,-0.3502483069896698,-0.13909964263439178,0.0,0.0,0.0,-0.0,9.283479690551758,-10.083751678466797,86.46410369873047
1752496868223457373,0.0,0.0,0.0,-9.00850772857666,-9.31256103515625,86.341552734375,-0.3518538177013397,-0.14079417288303375,0.0,0.0,0.0,-0.0,9.360361099243164,-9.453354835510254,86.341552734375
