timestamp,layout.data_offset,data[0],data[1],data[2]
1752496867627432623,0.0,-2.0,0.0,1.0
1752496867646713207,0.0,-2.0,0.0,1.0
1752496867668869748,0.0,-2.0,0.0,1.0
1752496867703581748,0.0,-2.0,0.0,1.0
1752496867710720540,0.0,-2.0,0.0,0.0
1752496867732765123,0.0,-2.0,0.0,0.0
1752496867751211957,0.0,-2.0,0.0,0.0
1752496867771643082,0.0,-2.0,0.0,0.0
1752496867793784707,0.0,-2.0,0.0,0.0
1752496867818640707,0.0,-2.0,0.0,0.0
1752496867840346832,0.0,-2.0,0.0,0.0
1752496867860502582,0.0,-2.0,0.0,0.0
1752496867881644957,0.0,-2.0,0.0,0.0
1752496867903686082,0.0,-2.0,0.0,0.0
1752496867928861457,0.0,-2.0,0.0,0.0
1752496867945605165,0.0,-2.0,-1.0,0.0
1752496867968553249,0.0,-2.0,-1.0,0.0
1752496867988398457,0.0,-2.0,-1.0,0.0
1752496868009328498,0.0,-2.0,-1.0,0.0
1752496868031716707,0.0,-2.0,-1.0,0.0
1752496868053476748,0.0,-2.0,-1.0,0.0
1752496868072709832,0.0,-2.0,-1.0,1.0
1752496868095014707,0.0,-2.0,-1.0,1.0
1752496868218353290,0.0,-2.0,-1.0,1.0
1752496868224328707,0.0,-2.0,-1.0,1.0
1752496868228094457,0.0,-2.0,-1.0,1.0
1752496868231711582,0.0,-2.0,-1.0,1.0
1752496868234209665,0.0,-2.0,-1.0,1.0
1752496868240161957,0.0,-2.0,-1.0,1.0
1752496868245701707,0.0,-2.0,-1.0,1.0
1752496868265607207,0.0,-2.0,-1.0,1.0
1752496868283444082,0.0,-2.0,-1.0,1.0
1752496868304911957,0.0,-2.0,-1.0,1.0
1752496868351988873,0.0,-1.0,-1.0,1.0
1752496868353605082,0.0,-1.0,-1.0,0.0
1752496868371198832,0.0,-1.0,-1.0,0.0
1752496868391702332,0.0,-1.0,0.0,0.0
1752496868414952332,0.0,0.0,0.0,0.0
1752496868435969582,0.0,0.0,0.0,0.0
1752496868458346498,0.0,0.0,0.0,0.0
1752496868481640207,0.0,0.0,0.0,0.0
1752496868500294415,0.0,0.0,0.0,0.0
1752496868520416873,0.0,0.0,0.0,0.0
1752496868542012124,0.0,-1.0,0.0,0.0
1752496868564245999,0.0,-1.0,0.0,0.0
1752496868584687790,0.0,-1.0,0.0,0.0
1752496868605539415,0.0,-1.0,0.0,0.0
1752496868646991332,0.0,-1.0,0.0,0.0
1752496868647816624,0.0,-1.0,0.0,0.0
1752496868669796290,0.0,-1.0,0.0,0.0
1752496868689834707,0.0,-1.0,0.0,0.0
1752496868713443915,0.0,-1.0,0.0,0.0
1752496868733138748,0.0,-2.0,0.0,0.0
1752496868756597665,0.0,-2.0,0.0,0.0
1752496868776292373,0.0,-1.0,0.0,0.0
1752496868795770915,0.0,-1.0,0.0,0.0
1752496868816081749,0.0,-1.0,0.0,0.0
1752496868846434582,0.0,-1.0,0.0,0.0
1752496868859336457,0.0,-1.0,0.0,0.0
1752496868882589040,0.0,-1.0,0.0,0.0
1752496868904997790,0.0,-1.0,0.0,0.0
1752496868924897957,0.0,-1.0,0.0,0.0
1752496868946248540,0.0,-1.0,0.0,0.0
1752496868968839957,0.0,-2.0,0.0,0.0
1752496868992042915,0.0,-2.0,0.0,0.0
1752496869011506457,0.0,-2.0,0.0,0.0
1752496869061954998,0.0,-2.0,0.0,0.0
1752496869074156123,0.0,-2.0,0.0,0.0
1752496869095339623,0.0,-1.0,0.0,0.0
1752496869117306707,0.0,-1.0,0.0,0.0
1752496869139703748,0.0,-1.0,0.0,0.0
1752496869157983707,0.0,-1.0,0.0,0.0
1752496869271363748,0.0,-1.0,0.0,0.0
1752496869273733665,0.0,-1.0,0.0,0.0
1752496869274716290,0.0,-1.0,0.0,0.0
