timestamp,pitch,roll,yaw
1752496867646717957,-0.6936330795288086,0.4056379199028015,-21.230419158935547
1752496867668692207,-0.7449986934661865,0.3918651044368744,-21.1936092376709
1752496867703377665,-0.8045688271522522,0.3682299554347992,-21.15873146057129
1752496867710502082,-0.8271942734718323,0.3762734830379486,-21.122343063354492
1752496867732549123,-0.811643660068512,0.351125568151474,-21.08802032470703
1752496867750347374,-0.8280491232872009,0.30269676446914673,-21.058147430419922
1752496867771421457,-0.8422753214836121,0.29560959339141846,-21.029600143432617
1752496867793345082,-0.87795090675354,0.2536902129650116,-21.002531051635742
1752496867814172165,-0.9025962948799133,0.2644648551940918,-20.974966049194336
1752496867840133374,-0.9069947004318237,0.2225046455860138,-20.94763946533203
1752496867860306249,-0.9644647836685181,0.21098077297210693,-20.919069290161133
1752496867881442707,-0.9970859885215759,0.23976163566112518,-20.889591217041016
1752496867903535998,-1.0400619506835938,0.24389362335205078,-20.860755920410156
1752496867928740040,-1.0736980438232422,0.2575514018535614,-20.833864212036133
1752496867945280290,-1.1201211214065552,0.26900944113731384,-20.80352020263672
1752496867968275249,-1.1120766401290894,0.26102185249328613,-20.773794174194336
1752496867988151499,-1.1358023881912231,0.19179295003414154,-20.74749755859375
1752496868009167373,-1.1457611322402954,0.14337512850761414,-20.72051429748535
1752496868031510707,-1.15988028049469,0.06419966369867325,-20.695785522460938
1752496868053403998,-1.1992064714431763,-0.007019777782261372,-20.6688175201416
1752496868072550207,-1.230535864830017,-0.08842476457357407,-20.641048431396484
1752496868094823248,-1.2429465055465698,-0.15723295509815216,-20.616025924682617
1752496868218053499,-1.2365671396255493,-0.2107999175786972,-20.58538818359375
1752496868224187665,-1.2384909391403198,-0.23406991362571716,-20.54840087890625
1752496868227885457,-1.2547651529312134,-0.20164300501346588,-20.51137924194336
1752496868231604832,-1.256058931350708,-0.24995149672031403,-20.47766876220703
1752496868234002290,-1.2752019166946411,-0.31351256370544434,-20.445938110351562
1752496868234813707,-1.2529704570770264,-0.3627057373523712,-20.41295051574707
1752496868245471790,-1.2671246528625488,-0.41367197036743164,-20.381074905395508
1752496868265409665,-1.2659645080566406,-0.4365432560443878,-20.34928321838379
1752496868283190374,-1.2866437435150146,-0.45516589283943176,-20.31800079345703
1752496868304290790,-1.2631847858428955,-0.48790377378463745,-20.289920806884766
1752496868351748707,-1.2657259702682495,-0.5526629090309143,-20.263893127441406
1752496868353354707,-1.2507853507995605,-0.5229043960571289,-20.234800338745117
1752496868371086207,-1.225975751876831,-0.5955818891525269,-20.205978393554688
1752496868391626332,-1.1434158086776733,-0.6325579881668091,-20.178194046020508
1752496868414629207,-1.049694299697876,-0.6541492342948914,-20.14784812927246
1752496868435806707,-0.9608888626098633,-0.5728546380996704,-20.115428924560547
1752496868458140623,-0.8062244653701782,-0.5430022478103638,-20.084238052368164
1752496868481455915,-0.7031518816947937,-0.5023037791252136,-20.052841186523438
1752496868500072499,-0.5631766319274902,-0.3912521004676819,-20.025245666503906
1752496868520231040,-0.4245590567588806,-0.3187861740589142,-20.001745223999023
1752496868541770457,-0.32743358612060547,-0.2686297595500946,-19.984249114990234
1752496868564082540,-0.22589367628097534,-0.2463991343975067,-19.971527099609375
1752496868584513748,-0.1835389882326126,-0.26711562275886536,-19.961355209350586
1752496868605354332,-0.1998865306377411,-0.26165714859962463,-19.951156616210938
1752496868646735540,-0.2211388647556305,-0.25220054388046265,-19.939512252807617
1752496868647658832,-0.25863364338874817,-0.23713240027427673,-19.928199768066406
1752496868669575457,-0.2894090414047241,-0.2357797771692276,-19.917797088623047
1752496868689635999,-0.322637140750885,-0.2064114511013031,-19.913053512573242
1752496868713261790,-0.36653056740760803,-0.17216122150421143,-19.917924880981445
1752496868732921123,-0.3456963002681732,-0.117072694003582,-19.925485610961914
1752496868756445415,-0.3252286911010742,-0.08406863361597061,-19.937423706054688
1752496868776075915,-0.3205004334449768,-0.02694055251777172,-19.95263671875
1752496868795591040,-0.37174126505851746,-0.0051157670095562935,-19.9735107421875
1752496868815675957,-0.41181495785713196,-0.015074498020112514,-20.002208709716797
