timestamp,layout.data_offset,data[0],data[1],data[2]
1752496867627444332,0.0,19.809999465942383,-1.566249966621399,6.177500247955322
1752496867646745707,0.0,12.5912504196167,0.7175000309944153,5.985000133514404
1752496867668920790,0.0,9.056249618530273,2.791249990463257,5.827499866485596
1752496867703629457,0.0,5.62624979019165,-0.6387500166893005,5.880000114440918
1752496867710736040,0.0,2.362499952316284,-1.181249976158142,6.238749980926514
1752496867732783582,0.0,-0.9100000262260437,-1.496250033378601,5.442500114440918
1752496867751267832,0.0,3.447499990463257,-4.235000133514404,4.672500133514404
1752496867771944415,0.0,0.9537500143051147,-4.96999979019165,4.418749809265137
1752496867793993540,0.0,2.6600000858306885,-1.4524999856948853,4.059999942779541
1752496867818672999,0.0,5.74875020980835,-1.715000033378601,4.681250095367432
1752496867840461457,0.0,5.101250171661377,-0.6212499737739563,4.523749828338623
1752496867860588623,0.0,6.230000019073486,2.3187499046325684,4.75124979019165
1752496867881669832,0.0,6.868750095367432,-0.3762499988079071,4.768750190734863
1752496867903708874,0.0,6.956250190734863,3.7100000381469727,4.847499847412109
1752496867928872790,0.0,4.21750020980835,3.5087499618530273,4.252500057220459
1752496867945632290,0.0,1.8637499809265137,-1.715000033378601,5.066249847412109
1752496867968690207,0.0,0.6037499904632568,-5.494999885559082,4.768750190734863
1752496867988447665,0.0,2.5199999809265137,-5.993750095367432,4.567500114440918
1752496868009405499,0.0,3.9024999141693115,-11.217499732971191,4.278749942779541
1752496868031865832,0.0,2.2750000953674316,-11.366250038146973,4.164999961853027
1752496868053481248,0.0,5.425000190734863,-13.475000381469727,4.611249923706055
1752496868072713290,0.0,4.409999847412109,-13.501250267028809,4.611249923706055
1752496868095036707,0.0,-1.0237499475479126,-10.543749809265137,4.366250038146973
1752496868218402957,0.0,-0.7612500190734863,-4.917500019073486,5.862500190734863
1752496868224474624,0.0,-1.006250023841858,-1.9075000286102295,6.317500114440918
1752496868228152290,0.0,-0.4025000035762787,-1.9075000286102295,5.757500171661377
1752496868231735665,0.0,-0.1837500035762787,-0.9537500143051147,5.678750038146973
1752496868234270915,0.0,-2.6337499618530273,-7.008749961853027,5.284999847412109
1752496868240230415,0.0,-2.0299999713897705,-9.520000457763672,5.477499961853027
1752496868245751957,0.0,0.7437499761581421,-6.054999828338623,5.118750095367432
1752496868265661040,0.0,-0.2537499964237213,-5.731249809265137,5.40749979019165
1752496868283504040,0.0,-0.21000000834465027,-5.110000133514404,4.716249942779541
1752496868305071373,0.0,0.612500011920929,-5.442500114440918,4.768750190734863
